Aff,Neg,Judges,Votes,Win
NYU/Houston MS,Towson DP,"Morgan Copeland																																						Anthony Davila																																						Joe Schatz","Aff																															Aff																															Aff","3-0																															AFF"
Liberty KT,West Point AR,"Daniel Christ																																						DavidMichael Woodward																																						Nicholas Tilmes","Aff																															Aff																															Aff","3-0																															AFF"
Liberty SS,Binghamton BH,"Jefferson Yahom																																						Zhane Lloyd																																						Will Baker","Neg																															Aff																															Aff","2-1																															AFF"
NYU KK,Liberty EY,"Kathryn Rubino																																						brad hodgkins																																						Joe Patrice","Aff																															Aff																															Aff","3-0																															AFF"
