Aff,Neg,Judges,Votes,Win
Michigan State JS,Georgia CP,"Matt Conway																																						John Turner																																						Mikaela Malsin","Neg																															Neg																															Aff","2-1																															NEG"
Michigan State FM,Wake Forest HN,"Jason Regnier																																						Geoff Lundeen																																						Anna Stockstill","Neg																															Aff																															Aff","2-1																															AFF"
Wichita State MG,Kentucky RW,"Lindsey Shook																																						Ryan Wash																																						Taylor Brough","Neg																															Neg																															Neg","3-0																															NEG"
Emory CS,Wake Forest LW,"Kwudjwa Osei																																						Alaina Walberg																																						Sophia Dal Pra","Aff																															Aff																															Aff","3-0																															AFF"
Michigan AO,Western Kentucky CF,"Jared Adam																																						Johnnie Stupek																																						Jacob Wilkus","Neg																															Neg																															Neg","3-0																															NEG"
Kansas BT,Gonzaga RW,"Jordan Di																																						Lauren McBlain																																						Nathan Rothenbaum","Aff																															Aff																															Neg","2-1																															AFF"
Western Kentucky NK,Emory AS,"Valerie McIntosh																																						William Repko																																						Kevin McCaffrey","Neg																															Neg																															Neg","3-0																															NEG"
Emory RC,Emory ST,,Emory ST advances,Emory ST advances
